"Fund","Invest","Interest","group","Type"
"inv_UDN",21,0.150884824647657,"high","C"
"inv_CRJ",21,0.150884824647657,"high","B"
"inv_MQQ",22.8,0.449543446630647,"high","C"
"inv_NXJ",21.4,0.217253407310543,"high","C"
"inv_PRJ",18.7,-0.230734525663942,"low","C"
"inv_ITN",18.1,-0.330287399658272,"low","B"
"inv_MNT",14.3,-0.960788934955696,"low","C"
"inv_YRF",24.4,0.715017777282194,"high","B"
"inv_MVK",22.8,0.449543446630647,"high","C"
"inv_XUG",19.2,-0.147773797335334,"low","A"
"inv_XZQ",17.8,-0.380063836655437,"low","B"
"inv_PLE",16.4,-0.612353875975541,"low","A"
"inv_KIW",17.3,-0.463024564984046,"low","B"
"inv_DKT",15.2,-0.811459623964201,"low","B"
"inv_YAR",10.4,-1.60788261591884,"low","B"
"inv_HEQ",10.4,-1.60788261591884,"low","A"
"inv_BVJ",14.7,-0.89442035229281,"low","A"
"inv_YGN",32.4,2.04238943053993,"high","C"
"inv_SGW",30.4,1.7105465172255,"high","B"
"inv_DBP",33.9,2.29127161552575,"high","C"
"inv_OGV",21.5,0.233845552976265,"high","A"
"inv_YTI",15.5,-0.761683186967036,"low","B"
"inv_PWS",15.2,-0.811459623964201,"low","C"
"inv_KMG",13.3,-1.12671039161291,"low","C"
"inv_QKP",19.2,-0.147773797335334,"low","C"
"inv_IGM",27.3,1.19619000158812,"high","A"
"inv_ICG",26,0.980492107933741,"high","A"
"inv_FKO",30.4,1.7105465172255,"high","B"
"inv_JOX",15.8,-0.711906749969871,"low","B"
"inv_ZFX",19.7,-0.0648130690067253,"low","B"
"inv_ELH",15,-0.844643915295645,"low","A"
"inv_CFI",21.4,0.217253407310543,"high","A"
